date,periodName,geo,شهادة,استشهاد,شهيد,جهاد,كافر,كفار,سورة الفاتحة,الأقصى,سورة الانفال,في سبيل الله,وضوء,عملية,صلاة,مكة,ركعة,صوم
25/01/2014 00:00,לאחר טרור עממי,IL,0,0,31,24,0,0,0,0,0,0,0,34,53,63,48,0
26/01/2014 00:00,לאחר טרור עממי,IL,26,0,0,0,0,48,0,0,0,39,38,68,100,0,38,0
27/01/2014 00:00,לאחר טרור עממי,IL,27,94,25,20,0,0,68,47,0,0,0,42,66,52,0,0
28/01/2014 00:00,לאחר טרור עממי,IL,0,0,25,39,0,0,100,0,0,0,0,68,22,0,0,0
29/01/2014 00:00,לאחר טרור עממי,IL,28,98,0,42,0,0,0,0,0,42,0,0,46,0,41,0
30/01/2014 00:00,לאחר טרור עממי,IL,0,0,0,0,0,0,0,0,0,43,0,44,46,82,0,0
31/01/2014 00:00,לאחר טרור עממי,IL,0,0,65,51,0,0,0,0,0,0,0,71,85,100,0,0
01/02/2014 00:00,לאחר טרור עממי,IL,0,0,0,0,0,60,0,0,0,0,0,17,62,32,48,60
14/08/2015 00:00,גל טרור הבודדים,IL,0,35,39,0,0,51,0,13,60,0,100,34,62,6,0,0
15/08/2015 00:00,גל טרור הבודדים,IL,0,17,38,40,0,100,0,12,0,50,49,59,49,0,0,0
16/08/2015 00:00,גל טרור הבודדים,IL,23,0,45,16,74,0,23,19,0,39,39,39,35,5,0,0
17/08/2015 00:00,גל טרור הבודדים,IL,0,0,30,47,0,39,23,29,47,39,0,46,36,5,32,0
18/08/2015 00:00,גל טרור הבודדים,IL,24,0,46,16,0,40,48,30,0,40,0,88,36,5,33,0
19/08/2015 00:00,גל טרור הבודדים,IL,0,14,47,81,0,41,0,41,0,0,0,34,34,10,0,0
20/08/2015 00:00,גל טרור הבודדים,IL,25,0,32,17,80,42,0,21,0,42,42,21,31,5,0,25
21/08/2015 00:00,גל טרור הבודדים,IL,60,52,38,80,95,0,0,50,0,50,0,59,50,6,0,0
22/08/2015 00:00,גל טרור הבודדים,IL,30,35,58,20,0,0,0,25,0,51,0,76,50,6,0,30
23/08/2015 00:00,גל טרור הבודדים,IL,0,27,30,31,0,0,0,29,0,0,0,59,58,0,32,0
24/08/2015 00:00,גל טרור הבודדים,IL,0,14,31,32,0,0,0,40,0,0,40,54,50,14,0,0
25/08/2015 00:00,גל טרור הבודדים,IL,0,14,0,64,0,0,48,60,0,40,0,47,53,5,0,23
26/08/2015 00:00,גל טרור הבודדים,IL,25,29,16,0,0,0,0,21,0,0,0,49,48,20,34,0
27/08/2015 00:00,גל טרור הבודדים,IL,25,14,48,33,0,42,0,10,0,42,41,98,21,15,0,0
28/08/2015 00:00,גל טרור הבודדים,IL,29,0,57,80,0,0,0,25,0,100,0,100,78,6,0,29
29/08/2015 00:00,גל טרור הבודדים,IL,30,35,38,100,0,50,0,100,0,50,0,84,45,18,0,0
30/08/2015 00:00,גל טרור הבודדים,IL,0,41,15,64,0,0,0,0,0,0,39,60,36,14,33,0
31/08/2015 00:00,גל טרור הבודדים,IL,47,0,46,64,0,40,48,10,0,40,0,54,36,0,0,0
01/09/2015 00:00,גל טרור הבודדים,IL,100,15,48,84,0,42,50,21,0,85,0,64,31,5,0,0
02/09/2015 00:00,גל טרור הבודדים,IL,50,14,32,17,0,0,100,21,100,0,0,63,48,10,35,0
03/09/2015 00:00,גל טרור הבודדים,IL,52,0,100,35,0,0,0,11,0,44,0,44,36,0,0,0
04/09/2015 00:00,גל טרור הבודדים,IL,0,17,19,80,0,50,60,63,60,0,0,75,45,12,41,29
05/09/2015 00:00,גל טרור הבודדים,IL,29,51,0,78,93,49,29,98,58,0,0,74,44,17,40,0
06/09/2015 00:00,גל טרור הבודדים,IL,0,70,16,0,0,41,72,30,48,0,0,61,27,19,100,0
07/09/2015 00:00,גל טרור הבודדים,IL,0,100,48,17,0,41,0,21,0,42,0,49,44,0,0,24
08/09/2015 00:00,גל טרור הבודדים,IL,48,0,0,32,0,0,24,20,48,40,0,61,46,5,0,0
09/09/2015 00:00,גל טרור הבודדים,IL,25,29,48,33,0,0,25,31,49,0,0,56,31,15,34,0
10/09/2015 00:00,גל טרור הבודדים,IL,0,15,49,51,0,42,0,32,0,0,0,35,14,5,0,25
11/09/2015 00:00,גל טרור הבודדים,IL,0,0,38,0,95,0,30,75,60,50,50,84,66,100,41,0
