day,periodName,score
2021-01-30,לאחר מבצע שומר החומות,1
2021-01-31,לאחר מבצע שומר החומות,1
2021-02-01,לאחר מבצע שומר החומות,1
2021-02-02,לאחר מבצע שומר החומות,3
2021-02-03,לאחר מבצע שומר החומות,6
2021-02-04,לאחר מבצע שומר החומות,4
2021-02-05,לאחר מבצע שומר החומות,1
2021-02-06,לאחר מבצע שומר החומות,6
2021-02-07,לאחר מבצע שומר החומות,1
2021-02-08,לאחר מבצע שומר החומות,0
2021-02-09,לאחר מבצע שומר החומות,0
2021-02-10,לאחר מבצע שומר החומות,0
2021-02-11,לאחר מבצע שומר החומות,1
2021-02-12,לאחר מבצע שומר החומות,1
2021-02-13,לאחר מבצע שומר החומות,2
2021-02-14,לאחר מבצע שומר החומות,1
2021-02-15,לאחר מבצע שומר החומות,8
2021-02-16,לאחר מבצע שומר החומות,2
2021-02-17,לאחר מבצע שומר החומות,2
2021-02-18,לאחר מבצע שומר החומות,1
2021-02-19,לאחר מבצע שומר החומות,4
2021-02-20,לאחר מבצע שומר החומות,1
2021-02-21,לאחר מבצע שומר החומות,1
2021-02-22,לאחר מבצע שומר החומות,1
2021-02-23,לאחר מבצע שומר החומות,0
2021-02-24,לאחר מבצע שומר החומות,0
2021-02-25,לאחר מבצע שומר החומות,0
2021-02-26,לאחר מבצע שומר החומות,8
2021-02-27,לאחר מבצע שומר החומות,2
2021-02-28,לאחר מבצע שומר החומות,0
2021-03-01,לאחר מבצע שומר החומות,0
2021-03-02,לאחר מבצע שומר החומות,2
2021-03-03,לאחר מבצע שומר החומות,1
2021-03-04,לאחר מבצע שומר החומות,4
2021-03-05,לאחר מבצע שומר החומות,4
2021-03-06,לאחר מבצע שומר החומות,1
2021-03-07,לאחר מבצע שומר החומות,1
2021-03-08,לאחר מבצע שומר החומות,1
2021-03-09,לאחר מבצע שומר החומות,1
2021-03-10,לאחר מבצע שומר החומות,2
2021-03-11,לאחר מבצע שומר החומות,3
2021-03-12,לאחר מבצע שומר החומות,2
2021-03-13,לאחר מבצע שומר החומות,2
2021-03-14,לאחר מבצע שומר החומות,10
2021-03-15,לאחר מבצע שומר החומות,2
2021-03-16,לאחר מבצע שומר החומות,2
2021-03-17,לאחר מבצע שומר החומות,4
2021-03-18,לאחר מבצע שומר החומות,0
2021-03-19,לאחר מבצע שומר החומות,2
2021-03-20,לאחר מבצע שומר החומות,0
2021-03-21,לאחר מבצע שומר החומות,0
2021-03-22,לאחר מבצע שומר החומות,1
2021-03-23,לאחר מבצע שומר החומות,0
2021-03-24,לאחר מבצע שומר החומות,1
2021-03-25,לאחר מבצע שומר החומות,1
2021-03-26,לאחר מבצע שומר החומות,4
2021-03-27,לאחר מבצע שומר החומות,2
2021-03-28,לאחר מבצע שומר החומות,4
2021-03-29,לאחר מבצע שומר החומות,2
2021-03-30,לאחר מבצע שומר החומות,0
2021-03-31,לאחר מבצע שומר החומות,2
2021-04-01,לאחר מבצע שומר החומות,3
2021-04-02,לאחר מבצע שומר החומות,12
2021-04-03,לאחר מבצע שומר החומות,2
2021-04-04,לאחר מבצע שומר החומות,0
2021-04-05,לאחר מבצע שומר החומות,1
2021-04-06,לאחר מבצע שומר החומות,0
2021-04-07,לאחר מבצע שומר החומות,1
2021-04-08,לאחר מבצע שומר החומות,0
2021-04-09,לאחר מבצע שומר החומות,4
2021-04-10,לאחר מבצע שומר החומות,2
2021-04-11,לאחר מבצע שומר החומות,0
2021-04-12,לאחר מבצע שומר החומות,8
2021-04-13,לאחר מבצע שומר החומות,6
2021-04-14,לאחר מבצע שומר החומות,4
2021-04-15,לאחר מבצע שומר החומות,4
2021-04-16,לאחר מבצע שומר החומות,2
2021-04-17,לאחר מבצע שומר החומות,2
2021-04-18,לאחר מבצע שומר החומות,2
2021-04-19,לאחר מבצע שומר החומות,4
2021-04-20,לאחר מבצע שומר החומות,1
2021-04-21,לאחר מבצע שומר החומות,0
2021-04-22,לאחר מבצע שומר החומות,2
2021-04-23,לאחר מבצע שומר החומות,4
2021-04-24,לאחר מבצע שומר החומות,1
2021-04-25,לאחר מבצע שומר החומות,3
2021-04-26,לאחר מבצע שומר החומות,0
2021-04-27,לאחר מבצע שומר החומות,1
2021-04-28,לאחר מבצע שומר החומות,4
2021-04-29,לאחר מבצע שומר החומות,0
2021-04-30,לאחר מבצע שומר החומות,3
2021-05-01,לאחר מבצע שומר החומות,1
2021-05-02,לאחר מבצע שומר החומות,1
2021-05-03,לאחר מבצע שומר החומות,1
2021-05-04,לאחר מבצע שומר החומות,2
2021-05-05,לאחר מבצע שומר החומות,4
2021-05-06,לאחר מבצע שומר החומות,4
2021-05-07,לאחר מבצע שומר החומות,2
2021-05-08,לאחר מבצע שומר החומות,4
2021-05-09,לאחר מבצע שומר החומות,2
2021-05-10,לאחר מבצע שומר החומות,6
2021-05-11,לאחר מבצע שומר החומות,2
2021-05-12,לאחר מבצע שומר החומות,1
2021-05-13,לאחר מבצע שומר החומות,3
2021-05-14,לאחר מבצע שומר החומות,1
2021-05-15,לאחר מבצע שומר החומות,3
2021-05-16,לאחר מבצע שומר החומות,1
2021-05-17,לאחר מבצע שומר החומות,8
2021-05-18,לאחר מבצע שומר החומות,1
2021-05-19,לאחר מבצע שומר החומות,0
2021-05-20,לאחר מבצע שומר החומות,0
2021-05-21,לאחר מבצע שומר החומות,0
2021-05-22,לאחר מבצע שומר החומות,0
2021-05-23,לאחר מבצע שומר החומות,0
2021-05-24,לאחר מבצע שומר החומות,0
2021-05-25,לאחר מבצע שומר החומות,2
2021-05-26,לאחר מבצע שומר החומות,0
2021-05-27,לאחר מבצע שומר החומות,4
2021-05-28,לאחר מבצע שומר החומות,3
2021-05-29,לאחר מבצע שומר החומות,4
2021-05-30,לאחר מבצע שומר החומות,1
2021-05-31,לאחר מבצע שומר החומות,2
2021-06-01,לאחר מבצע שומר החומות,2
2021-06-02,לאחר מבצע שומר החומות,0
2021-06-03,לאחר מבצע שומר החומות,0
2021-06-04,לאחר מבצע שומר החומות,0
2021-06-05,לאחר מבצע שומר החומות,0
2021-06-06,לאחר מבצע שומר החומות,0
2021-06-07,לאחר מבצע שומר החומות,1
2021-06-08,לאחר מבצע שומר החומות,3
2021-06-09,לאחר מבצע שומר החומות,0
2021-06-10,לאחר מבצע שומר החומות,2
2021-06-11,לאחר מבצע שומר החומות,5
2021-06-12,לאחר מבצע שומר החומות,10
2021-06-13,לאחר מבצע שומר החומות,0
2021-06-14,לאחר מבצע שומר החומות,1
2021-06-15,לאחר מבצע שומר החומות,0
2021-06-16,לאחר מבצע שומר החומות,0
2021-06-17,לאחר מבצע שומר החומות,4
2021-06-18,לאחר מבצע שומר החומות,1
2021-06-19,לאחר מבצע שומר החומות,1
2021-06-20,לאחר מבצע שומר החומות,7
2021-06-21,לאחר מבצע שומר החומות,0
2021-06-22,לאחר מבצע שומר החומות,2
2021-06-23,לאחר מבצע שומר החומות,0
2021-06-24,לאחר מבצע שומר החומות,0
2021-06-25,לאחר מבצע שומר החומות,1
2021-06-26,לאחר מבצע שומר החומות,3
2021-06-27,לאחר מבצע שומר החומות,2
2021-06-28,לאחר מבצע שומר החומות,3
2021-06-29,לאחר מבצע שומר החומות,1
2021-06-30,לאחר מבצע שומר החומות,0
2021-07-01,לאחר מבצע שומר החומות,0
2011-12-24,טרור עממי,0
2011-12-25,טרור עממי,0
2011-12-26,טרור עממי,2
2011-12-27,טרור עממי,0
2011-12-28,טרור עממי,10
2011-12-29,טרור עממי,1
2011-12-30,טרור עממי,1
2011-12-31,טרור עממי,0
2012-01-01,טרור עממי,10
2012-01-02,טרור עממי,1
2012-01-03,טרור עממי,0
2012-01-04,טרור עממי,1
2012-01-05,טרור עממי,1
2012-01-06,טרור עממי,2
2012-01-07,טרור עממי,0
2012-01-08,טרור עממי,4
2012-01-09,טרור עממי,4
2012-01-10,טרור עממי,1
2012-01-11,טרור עממי,0
2012-01-12,טרור עממי,0
2012-01-13,טרור עממי,0
2012-01-14,טרור עממי,1
2012-01-15,טרור עממי,8
2012-01-16,טרור עממי,2
2012-01-17,טרור עממי,4
2012-01-18,טרור עממי,0
2012-01-19,טרור עממי,0
2012-01-20,טרור עממי,2
2012-01-21,טרור עממי,0
2012-01-22,טרור עממי,1
2012-01-23,טרור עממי,3
2012-01-24,טרור עממי,5
2012-01-25,טרור עממי,1
2012-01-26,טרור עממי,2
2012-01-27,טרור עממי,0
2012-01-28,טרור עממי,0
2012-01-29,טרור עממי,0
2012-01-30,טרור עממי,1
2012-01-31,טרור עממי,6
2012-02-01,טרור עממי,1
2012-02-02,טרור עממי,0
2012-02-03,טרור עממי,2
2012-02-04,טרור עממי,0
2012-02-05,טרור עממי,0
2012-02-06,טרור עממי,2
2012-02-07,טרור עממי,1
2012-02-08,טרור עממי,0
2012-02-09,טרור עממי,2
2012-02-10,טרור עממי,9
2012-02-11,טרור עממי,0
2012-02-12,טרור עממי,1
2012-02-13,טרור עממי,2
2012-02-14,טרור עממי,0
2012-02-15,טרור עממי,2
2012-02-16,טרור עממי,0
2012-02-17,טרור עממי,8
2012-02-18,טרור עממי,1
2012-02-19,טרור עממי,4
2012-02-20,טרור עממי,4
2012-02-21,טרור עממי,6
2012-02-22,טרור עממי,0
2012-02-23,טרור עממי,0
2012-02-24,טרור עממי,3
2012-02-25,טרור עממי,2
2012-02-26,טרור עממי,0
2012-02-27,טרור עממי,1
2012-02-28,טרור עממי,0
2012-02-29,טרור עממי,1
2012-03-01,טרור עממי,0
2012-03-02,טרור עממי,2
2012-03-03,טרור עממי,1
2012-03-04,טרור עממי,1
2012-03-05,טרור עממי,2
2012-03-06,טרור עממי,0
2012-03-07,טרור עממי,2
2012-03-08,טרור עממי,1
2012-03-09,טרור עממי,1
2012-03-10,טרור עממי,2
2012-03-11,טרור עממי,0
2012-03-12,טרור עממי,0
2012-03-13,טרור עממי,0
2012-03-14,טרור עממי,0
2012-03-15,טרור עממי,0
2012-03-16,טרור עממי,7
2012-03-17,טרור עממי,6
2012-03-18,טרור עממי,0
2012-03-19,טרור עממי,2
2012-03-20,טרור עממי,4
2012-03-21,טרור עממי,2
2012-03-22,טרור עממי,0
2012-03-23,טרור עממי,2
2012-03-24,טרור עממי,2
2012-03-25,טרור עממי,2
2012-03-26,טרור עממי,1
2012-03-27,טרור עממי,0
2012-03-28,טרור עממי,0
2012-03-29,טרור עממי,4
2012-03-30,טרור עממי,0
2012-03-31,טרור עממי,0
2012-04-01,טרור עממי,0
2012-04-02,טרור עממי,2
2012-04-03,טרור עממי,8
2012-04-04,טרור עממי,1
2012-04-05,טרור עממי,4
2012-04-06,טרור עממי,4
2012-04-07,טרור עממי,5
2012-04-08,טרור עממי,2
2012-04-09,טרור עממי,0
2012-04-10,טרור עממי,4
2012-04-11,טרור עממי,1
2012-04-12,טרור עממי,3
2012-04-13,טרור עממי,0
2012-04-14,טרור עממי,1
2012-04-15,טרור עממי,0
2012-04-16,טרור עממי,0
2012-04-17,טרור עממי,8
2012-04-18,טרור עממי,0
2012-04-19,טרור עממי,1
2012-04-20,טרור עממי,0
2012-04-21,טרור עממי,0
2012-04-22,טרור עממי,0
2012-04-23,טרור עממי,0
2012-04-24,טרור עממי,1
2012-04-25,טרור עממי,4
2012-04-26,טרור עממי,1
2012-04-27,טרור עממי,3
2012-04-28,טרור עממי,0
2012-04-29,טרור עממי,0
2012-04-30,טרור עממי,0
2012-05-01,טרור עממי,0
2012-05-02,טרור עממי,0
2012-05-03,טרור עממי,0
2012-05-04,טרור עממי,4
2012-05-05,טרור עממי,6
2012-05-06,טרור עממי,0
2012-05-07,טרור עממי,0
2012-05-08,טרור עממי,0
2012-05-09,טרור עממי,1
2012-05-10,טרור עממי,0
2012-05-11,טרור עממי,0
2012-05-12,טרור עממי,0
2012-05-13,טרור עממי,0
2012-05-14,טרור עממי,6
2012-05-15,טרור עממי,2
2012-05-16,טרור עממי,1
2012-05-17,טרור עממי,0
2012-05-18,טרור עממי,1
2012-05-19,טרור עממי,6
2012-05-20,טרור עממי,0
2012-05-21,טרור עממי,2
2012-05-22,טרור עממי,0
2012-05-23,טרור עממי,2
2012-05-24,טרור עממי,4
2012-05-25,טרור עממי,5
2012-05-26,טרור עממי,0
2012-05-27,טרור עממי,2
2012-05-28,טרור עממי,4
2012-05-29,טרור עממי,3
2012-05-30,טרור עממי,0
2012-05-31,טרור עממי,2
2012-06-01,טרור עממי,2
2012-06-02,טרור עממי,0
2012-06-03,טרור עממי,1
2012-06-04,טרור עממי,1
2012-06-05,טרור עממי,6
2012-06-06,טרור עממי,0
2012-06-07,טרור עממי,0
2012-06-08,טרור עממי,0
2012-06-09,טרור עממי,0
2012-06-10,טרור עממי,1
2012-06-11,טרור עממי,2
2012-06-12,טרור עממי,1
2012-06-13,טרור עממי,2
2012-06-14,טרור עממי,0
2012-06-15,טרור עממי,1
2012-06-16,טרור עממי,2
2012-06-17,טרור עממי,1
2012-06-18,טרור עממי,4
2012-06-19,טרור עממי,0
2012-06-20,טרור עממי,0
2012-06-21,טרור עממי,1
2013-08-05,לאחר טרור עממי,0
2013-08-06,לאחר טרור עממי,1
2013-08-07,לאחר טרור עממי,1
2013-08-08,לאחר טרור עממי,2
2013-08-09,לאחר טרור עממי,1
2013-08-10,לאחר טרור עממי,1
2013-08-11,לאחר טרור עממי,0
2013-08-12,לאחר טרור עממי,1
2013-08-13,לאחר טרור עממי,2
2013-08-14,לאחר טרור עממי,0
2013-08-15,לאחר טרור עממי,0
2013-08-16,לאחר טרור עממי,4
2013-08-17,לאחר טרור עממי,0
2013-08-18,לאחר טרור עממי,0
2013-08-19,לאחר טרור עממי,1
2013-08-20,לאחר טרור עממי,0
2013-08-21,לאחר טרור עממי,0
2013-08-22,לאחר טרור עממי,6
2013-08-23,לאחר טרור עממי,1
2013-08-24,לאחר טרור עממי,2
2013-08-25,לאחר טרור עממי,0
2013-08-26,לאחר טרור עממי,2
2013-08-27,לאחר טרור עממי,4
2013-08-28,לאחר טרור עממי,1
2013-08-29,לאחר טרור עממי,1
2013-08-30,לאחר טרור עממי,0
2013-08-31,לאחר טרור עממי,3
2013-09-01,לאחר טרור עממי,1
2013-09-02,לאחר טרור עממי,1
2013-09-03,לאחר טרור עממי,4
2013-09-04,לאחר טרור עממי,8
2013-09-05,לאחר טרור עממי,0
2013-09-06,לאחר טרור עממי,1
2013-09-07,לאחר טרור עממי,4
2013-09-08,לאחר טרור עממי,0
2013-09-09,לאחר טרור עממי,0
2013-09-10,לאחר טרור עממי,2
2013-09-11,לאחר טרור עממי,0
2013-09-12,לאחר טרור עממי,0
2013-09-13,לאחר טרור עממי,0
2013-09-14,לאחר טרור עממי,0
2013-09-15,לאחר טרור עממי,1
2013-09-16,לאחר טרור עממי,0
2013-09-17,לאחר טרור עממי,1
2013-09-18,לאחר טרור עממי,0
2013-09-19,לאחר טרור עממי,1
2013-09-20,לאחר טרור עממי,0
2013-09-21,לאחר טרור עממי,4
2013-09-22,לאחר טרור עממי,0
2013-09-23,לאחר טרור עממי,0
2013-09-24,לאחר טרור עממי,4
2013-09-25,לאחר טרור עממי,0
2013-09-26,לאחר טרור עממי,2
2013-09-27,לאחר טרור עממי,2
2013-09-28,לאחר טרור עממי,0
2013-09-29,לאחר טרור עממי,0
2013-09-30,לאחר טרור עממי,0
2013-10-01,לאחר טרור עממי,2
2013-10-02,לאחר טרור עממי,1
2013-10-03,לאחר טרור עממי,0
2013-10-04,לאחר טרור עממי,1
2013-10-05,לאחר טרור עממי,1
2013-10-06,לאחר טרור עממי,8
2013-10-07,לאחר טרור עממי,2
2013-10-08,לאחר טרור עממי,0
2013-10-09,לאחר טרור עממי,3
2013-10-10,לאחר טרור עממי,4
2013-10-11,לאחר טרור עממי,0
2013-10-12,לאחר טרור עממי,6
2013-10-13,לאחר טרור עממי,6
2013-10-14,לאחר טרור עממי,4
2013-10-15,לאחר טרור עממי,4
2013-10-16,לאחר טרור עממי,1
2013-10-17,לאחר טרור עממי,5
2013-10-18,לאחר טרור עממי,0
2013-10-19,לאחר טרור עממי,1
2013-10-20,לאחר טרור עממי,0
2013-10-21,לאחר טרור עממי,0
2013-10-22,לאחר טרור עממי,0
2013-10-23,לאחר טרור עממי,0
2013-10-24,לאחר טרור עממי,0
2013-10-25,לאחר טרור עממי,2
2013-10-26,לאחר טרור עממי,0
2013-10-27,לאחר טרור עממי,0
2013-10-28,לאחר טרור עממי,1
2013-10-29,לאחר טרור עממי,2
2013-10-30,לאחר טרור עממי,8
2013-10-31,לאחר טרור עממי,0
2013-11-01,לאחר טרור עממי,1
2013-11-02,לאחר טרור עממי,1
2013-11-03,לאחר טרור עממי,2
2013-11-04,לאחר טרור עממי,0
2013-11-05,לאחר טרור עממי,0
2013-11-06,לאחר טרור עממי,2
2013-11-07,לאחר טרור עממי,2
2013-11-08,לאחר טרור עממי,3
2013-11-09,לאחר טרור עממי,0
2013-11-10,לאחר טרור עממי,2
2013-11-11,לאחר טרור עממי,0
2013-11-12,לאחר טרור עממי,6
2013-11-13,לאחר טרור עממי,0
2013-11-14,לאחר טרור עממי,1
2013-11-15,לאחר טרור עממי,5
2013-11-16,לאחר טרור עממי,3
2013-11-17,לאחר טרור עממי,0
2013-11-18,לאחר טרור עממי,2
2013-11-19,לאחר טרור עממי,2
2013-11-20,לאחר טרור עממי,1
2013-11-21,לאחר טרור עממי,1
2013-11-22,לאחר טרור עממי,1
2013-11-23,לאחר טרור עממי,0
2013-11-24,לאחר טרור עממי,1
2013-11-25,לאחר טרור עממי,1
2013-11-26,לאחר טרור עממי,3
2013-11-27,לאחר טרור עממי,0
2013-11-28,לאחר טרור עממי,0
2013-11-29,לאחר טרור עממי,0
2013-11-30,לאחר טרור עממי,1
2013-12-01,לאחר טרור עממי,0
2013-12-02,לאחר טרור עממי,3
2013-12-03,לאחר טרור עממי,1
2013-12-04,לאחר טרור עממי,1
2013-12-05,לאחר טרור עממי,0
2013-12-06,לאחר טרור עממי,3
2013-12-07,לאחר טרור עממי,3
2013-12-08,לאחר טרור עממי,1
2013-12-09,לאחר טרור עממי,0
2013-12-10,לאחר טרור עממי,0
2013-12-11,לאחר טרור עממי,4
2013-12-12,לאחר טרור עממי,0
2013-12-13,לאחר טרור עממי,1
2013-12-14,לאחר טרור עממי,0
2013-12-15,לאחר טרור עממי,2
2013-12-16,לאחר טרור עממי,0
2013-12-17,לאחר טרור עממי,0
2013-12-18,לאחר טרור עממי,0
2013-12-19,לאחר טרור עממי,0
2013-12-20,לאחר טרור עממי,0
2013-12-21,לאחר טרור עממי,0
2013-12-22,לאחר טרור עממי,2
2013-12-23,לאחר טרור עממי,1
2013-12-24,לאחר טרור עממי,2
2013-12-25,לאחר טרור עממי,0
2013-12-26,לאחר טרור עממי,0
2013-12-27,לאחר טרור עממי,0
2013-12-28,לאחר טרור עממי,1
2013-12-29,לאחר טרור עממי,2
2013-12-30,לאחר טרור עממי,1
2013-12-31,לאחר טרור עממי,0
2014-01-01,לאחר טרור עממי,1
2014-01-02,לאחר טרור עממי,3
2014-01-03,לאחר טרור עממי,2
2014-01-04,לאחר טרור עממי,2
2014-01-05,לאחר טרור עממי,0
2014-01-06,לאחר טרור עממי,0
2014-01-07,לאחר טרור עממי,0
2014-01-08,לאחר טרור עממי,0
2014-01-09,לאחר טרור עממי,1
2014-01-10,לאחר טרור עממי,0
2014-01-11,לאחר טרור עממי,1
2014-01-12,לאחר טרור עממי,0
2014-01-13,לאחר טרור עממי,1
2014-01-14,לאחר טרור עממי,3
2014-01-15,לאחר טרור עממי,0
2014-01-16,לאחר טרור עממי,0
2014-01-17,לאחר טרור עממי,0
2014-01-18,לאחר טרור עממי,1
2014-01-19,לאחר טרור עממי,1
2014-01-20,לאחר טרור עממי,0
2014-01-21,לאחר טרור עממי,0
2014-01-22,לאחר טרור עממי,0
2014-01-23,לאחר טרור עממי,2
2014-01-24,לאחר טרור עממי,3
2014-01-25,לאחר טרור עממי,2
2014-01-26,לאחר טרור עממי,1
2014-01-27,לאחר טרור עממי,0
2014-01-28,לאחר טרור עממי,2
2014-01-29,לאחר טרור עממי,0
2014-01-30,לאחר טרור עממי,0
2014-01-31,לאחר טרור עממי,0
2014-02-01,לאחר טרור עממי,1
2015-03-18,גל טרור הבודדים,0
2015-03-19,גל טרור הבודדים,5
2015-03-20,גל טרור הבודדים,4
2015-03-21,גל טרור הבודדים,0
2015-03-22,גל טרור הבודדים,0
2015-03-23,גל טרור הבודדים,1
2015-03-24,גל טרור הבודדים,3
2015-03-25,גל טרור הבודדים,1
2015-03-26,גל טרור הבודדים,0
2015-03-27,גל טרור הבודדים,1
2015-03-28,גל טרור הבודדים,0
2015-03-29,גל טרור הבודדים,0
2015-03-30,גל טרור הבודדים,2
2015-03-31,גל טרור הבודדים,0
2015-04-01,גל טרור הבודדים,0
2015-04-02,גל טרור הבודדים,0
2015-04-03,גל טרור הבודדים,0
2015-04-04,גל טרור הבודדים,5
2015-04-05,גל טרור הבודדים,0
2015-04-06,גל טרור הבודדים,0
2015-04-07,גל טרור הבודדים,0
2015-04-08,גל טרור הבודדים,1
2015-04-09,גל טרור הבודדים,1
2015-04-10,גל טרור הבודדים,2
2015-04-11,גל טרור הבודדים,0
2015-04-12,גל טרור הבודדים,2
2015-04-13,גל טרור הבודדים,3
2015-04-14,גל טרור הבודדים,3
2015-04-15,גל טרור הבודדים,0
2015-04-16,גל טרור הבודדים,0
2015-04-17,גל טרור הבודדים,0
2015-04-18,גל טרור הבודדים,0
2015-04-19,גל טרור הבודדים,0
2015-04-20,גל טרור הבודדים,0
2015-04-21,גל טרור הבודדים,0
2015-04-22,גל טרור הבודדים,0
2015-04-23,גל טרור הבודדים,6
2015-04-24,גל טרור הבודדים,2
2015-04-25,גל טרור הבודדים,0
2015-04-26,גל טרור הבודדים,6
2015-04-27,גל טרור הבודדים,0
2015-04-28,גל טרור הבודדים,0
2015-04-29,גל טרור הבודדים,0
2015-04-30,גל טרור הבודדים,0
2015-05-01,גל טרור הבודדים,4
2015-05-02,גל טרור הבודדים,5
2015-05-03,גל טרור הבודדים,6
2015-05-04,גל טרור הבודדים,2
2015-05-05,גל טרור הבודדים,0
2015-05-06,גל טרור הבודדים,0
2015-05-07,גל טרור הבודדים,0
2015-05-08,גל טרור הבודדים,0
2015-05-09,גל טרור הבודדים,0
2015-05-10,גל טרור הבודדים,0
2015-05-11,גל טרור הבודדים,0
2015-05-12,גל טרור הבודדים,2
2015-05-13,גל טרור הבודדים,0
2015-05-14,גל טרור הבודדים,3
2015-05-15,גל טרור הבודדים,0
2015-05-16,גל טרור הבודדים,1
2015-05-17,גל טרור הבודדים,3
2015-05-18,גל טרור הבודדים,0
2015-05-19,גל טרור הבודדים,0
2015-05-20,גל טרור הבודדים,2
2015-05-21,גל טרור הבודדים,0
2015-05-22,גל טרור הבודדים,0
2015-05-23,גל טרור הבודדים,1
2015-05-24,גל טרור הבודדים,0
2015-05-25,גל טרור הבודדים,3
2015-05-26,גל טרור הבודדים,2
2015-05-27,גל טרור הבודדים,0
2015-05-28,גל טרור הבודדים,0
2015-05-29,גל טרור הבודדים,0
2015-05-30,גל טרור הבודדים,0
2015-05-31,גל טרור הבודדים,0
2015-06-01,גל טרור הבודדים,0
2015-06-02,גל טרור הבודדים,0
2015-06-03,גל טרור הבודדים,2
2015-06-04,גל טרור הבודדים,6
2015-06-05,גל טרור הבודדים,2
2015-06-06,גל טרור הבודדים,0
2015-06-07,גל טרור הבודדים,3
2015-06-08,גל טרור הבודדים,0
2015-06-09,גל טרור הבודדים,0
2015-06-10,גל טרור הבודדים,3
2015-06-11,גל טרור הבודדים,0
2015-06-12,גל טרור הבודדים,1
2015-06-13,גל טרור הבודדים,0
2015-06-14,גל טרור הבודדים,0
2015-06-15,גל טרור הבודדים,2
2015-06-16,גל טרור הבודדים,2
2015-06-17,גל טרור הבודדים,6
2015-06-18,גל טרור הבודדים,9
2015-06-19,גל טרור הבודדים,10
2015-06-20,גל טרור הבודדים,6
2015-06-21,גל טרור הבודדים,1
2015-06-22,גל טרור הבודדים,6
2015-06-23,גל טרור הבודדים,6
2015-06-24,גל טרור הבודדים,2
2015-06-25,גל טרור הבודדים,4
2015-06-26,גל טרור הבודדים,1
2015-06-27,גל טרור הבודדים,0
2015-06-28,גל טרור הבודדים,0
2015-06-29,גל טרור הבודדים,0
2015-06-30,גל טרור הבודדים,6
2015-07-01,גל טרור הבודדים,1
2015-07-02,גל טרור הבודדים,0
2015-07-03,גל טרור הבודדים,1
2015-07-04,גל טרור הבודדים,2
2015-07-05,גל טרור הבודדים,4
2015-07-06,גל טרור הבודדים,0
2015-07-07,גל טרור הבודדים,4
2015-07-08,גל טרור הבודדים,1
2015-07-09,גל טרור הבודדים,1
2015-07-10,גל טרור הבודדים,6
2015-07-11,גל טרור הבודדים,1
2015-07-12,גל טרור הבודדים,0
2015-07-13,גל טרור הבודדים,6
2015-07-14,גל טרור הבודדים,4
2015-07-15,גל טרור הבודדים,0
2015-07-16,גל טרור הבודדים,3
2015-07-17,גל טרור הבודדים,10
2015-07-18,גל טרור הבודדים,2
2015-07-19,גל טרור הבודדים,3
2015-07-20,גל טרור הבודדים,2
2015-07-21,גל טרור הבודדים,1
2015-07-22,גל טרור הבודדים,6
2015-07-23,גל טרור הבודדים,1
2015-07-24,גל טרור הבודדים,11
2015-07-25,גל טרור הבודדים,0
2015-07-26,גל טרור הבודדים,0
2015-07-27,גל טרור הבודדים,1
2015-07-28,גל טרור הבודדים,0
2015-07-29,גל טרור הבודדים,0
2015-07-30,גל טרור הבודדים,1
2015-07-31,גל טרור הבודדים,1
2015-08-01,גל טרור הבודדים,0
2015-08-02,גל טרור הבודדים,2
2015-08-03,גל טרור הבודדים,0
2015-08-04,גל טרור הבודדים,0
2015-08-05,גל טרור הבודדים,2
2015-08-06,גל טרור הבודדים,4
2015-08-07,גל טרור הבודדים,1
2015-08-08,גל טרור הבודדים,0
2015-08-09,גל טרור הבודדים,0
2015-08-10,גל טרור הבודדים,2
2015-08-11,גל טרור הבודדים,0
2015-08-12,גל טרור הבודדים,4
2015-08-13,גל טרור הבודדים,0
2015-08-14,גל טרור הבודדים,2
2015-08-15,גל טרור הבודדים,1
2015-08-16,גל טרור הבודדים,2
2015-08-17,גל טרור הבודדים,0
2015-08-18,גל טרור הבודדים,1
2015-08-19,גל טרור הבודדים,1
2015-08-20,גל טרור הבודדים,0
2015-08-21,גל טרור הבודדים,1
2015-08-22,גל טרור הבודדים,0
2015-08-23,גל טרור הבודדים,2
2015-08-24,גל טרור הבודדים,3
2015-08-25,גל טרור הבודדים,0
2015-08-26,גל טרור הבודדים,1
2015-08-27,גל טרור הבודדים,0
2015-08-28,גל טרור הבודדים,3
2015-08-29,גל טרור הבודדים,2
2015-08-30,גל טרור הבודדים,4
2015-08-31,גל טרור הבודדים,8
2015-09-01,גל טרור הבודדים,0
2015-09-02,גל טרור הבודדים,0
2015-09-03,גל טרור הבודדים,1
2015-09-04,גל טרור הבודדים,0
2015-09-05,גל טרור הבודדים,0
2015-09-06,גל טרור הבודדים,2
2015-09-07,גל טרור הבודדים,0
2015-09-08,גל טרור הבודדים,2
2015-09-09,גל טרור הבודדים,0
2015-09-10,גל טרור הבודדים,4
2015-09-11,גל טרור הבודדים,4
2015-09-12,גל טרור הבודדים,4
2015-09-13,גל טרור הבודדים,1
2015-09-14,גל טרור הבודדים,1
2016-06-04,לאחר גל טרור הבודדים,2
2016-06-05,לאחר גל טרור הבודדים,9
2016-06-06,לאחר גל טרור הבודדים,10
2016-06-07,לאחר גל טרור הבודדים,4
2016-06-08,לאחר גל טרור הבודדים,2
2016-06-09,לאחר גל טרור הבודדים,2
2016-06-10,לאחר גל טרור הבודדים,1
